行業別,上月底現有家數,上月底現有資本額,新設立家數,新設立資本額,歇業家數,歇業資本額,增資家數,增資資本額,減資家數,減資資本額,遷入家數,遷入資本額,遷出家數,遷出資本額,行業變動家數,行業變動資本額,異動調整家數,異動調整資本額,本月底現有家數,本月底現有資本額,year,month
教育業,2774,397737,47,6495,14,1485,2,1190,0,0,0,0,0,0,0,0,2,350,2809,404287,2025,12
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,12
藝術、娛樂及休閒服務業,25583,3416721,134,15479,105,17571,4,8243,0,0,5,969,4,880,-5,-883,-2,338,25606,3422416,2025,12
其他服務業,74335,7241869,446,47811,238,26498,26,8363,1,2210,8,1230,7,1130,0,3235,-1,-1133,74543,7271538,2025,12
總計,996914,206385472,4343,656813,3420,622348,324,359396,18,10202,181,76480,182,72323,0,0,4,3163,997840,206776451,2025,11
農、林、漁、牧業,12101,3917748,54,7789,30,10443,2,9000,0,0,3,1230,3,430,5,503,0,0,12130,3925397,2025,11
礦業及土石採取業,2003,1178876,9,1450,7,6180,0,0,0,0,0,0,0,0,0,0,0,0,2005,1174146,2025,11
製造業,55096,15430883,134,32417,138,49377,19,58332,0,0,10,1668,10,1668,3,500,-2,-203,55093,15472552,2025,11
電力及燃氣供應業,1038,558928,7,1285,0,0,1,1800,0,0,2,400,2,400,0,0,0,0,1045,562013,2025,11
用水供應及污染整治業,4054,1927120,19,3556,13,3068,4,10388,0,0,1,2000,1,200,0,0,0,0,4060,1939796,2025,11
營建工程業,103593,45557772,542,122938,284,97956,65,83361,0,0,38,12878,38,11978,5,560,1,3190,103857,45670766,2025,11
批發及零售業,516086,86344178,1728,249410,1694,268511,139,125306,9,5775,92,29059,93,28547,-13,198,0,-414,516106,86444904,2025,11
運輸及倉儲業,25875,6011141,27,4356,38,6485,2,849,0,0,3,5400,2,5200,2,400,0,0,25867,6010460,2025,11
住宿及餐飲業,108112,14582225,917,116593,687,102880,41,35560,3,290,7,870,8,1070,-4,-1678,1,40,108338,14629370,2025,11
出版影音及資通訊業,7048,1837588,61,7048,29,4570,5,6255,0,0,3,3300,3,3300,0,70,0,0,7080,1846391,2025,11
金融及保險業,3291,4743347,23,3920,4,650,1,500,0,0,1,200,1,200,0,0,0,0,3310,4747117,2025,11
不動產業,4499,1127260,12,3808,17,3586,0,0,0,0,1,245,1,100,0,0,0,0,4494,1127627,2025,11
專業、科學及技術服務業,21184,4641597,120,17008,90,18874,9,7203,0,0,5,1300,5,1300,4,877,0,0,21218,4647811,2025,11
支援服務業,30459,7500505,188,29309,102,15439,11,11118,1,3000,5,16600,5,16600,-3,-1219,3,500,30545,7521774,2025,11
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,11
教育業,2745,392605,44,6365,15,1593,3,360,0,0,0,0,0,0,0,0,0,0,2774,397737,2025,11
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,11
藝術、娛樂及休閒服務業,25587,3416099,84,9774,87,13288,7,4700,2,17,3,400,3,400,-2,-597,1,50,25583,3416721,2025,11
其他服務業,74143,7217601,374,39788,185,19449,15,4664,3,1120,7,930,7,930,3,386,0,0,74335,7241869,2025,11
總計,995478,205969906,4954,735838,3532,679194,334,370685,18,13947,198,60100,199,59280,0,0,15,1364,996914,206385472,2025,10
農、林、漁、牧業,12055,3903771,63,8987,22,4740,3,3150,1,170,2,300,1,100,4,6600,0,-50,12101,3917748,2025,10
礦業及土石採取業,1997,1171541,6,1185,1,500,3,6600,0,0,0,0,0,0,1,50,0,0,2003,1178876,2025,10
製造業,55103,15431077,132,23054,142,36160,17,21097,3,9100,8,2116,7,2068,4,1070,-2,-203,55096,15430883,2025,10
電力及燃氣供應業,1030,556038,14,2490,5,5600,1,12000,0,0,0,0,0,0,-1,-6000,0,0,1038,558928,2025,10
用水供應及污染整治業,4046,1913092,16,4857,10,2190,4,10662,0,0,0,0,0,0,2,699,0,0,4054,1927120,2025,10
營建工程業,103224,45444917,650,132961,290,140490,75,117831,1,1000,31,8349,29,7949,4,2898,3,255,103593,45557772,2025,10
批發及零售業,515872,86223510,1960,287154,1751,294990,134,125924,5,996,93,25097,95,25185,-10,1420,17,2245,516086,86344178,2025,10
運輸及倉儲業,25876,6008587,30,7013,28,6079,2,300,0,0,2,250,3,490,0,4610,-2,-3050,25875,6011141,2025,10
住宿及餐飲業,107821,14516063,1006,126861,704,82977,36,28179,4,370,21,3090,23,3390,-10,-5991,1,760,108112,14582225,2025,10
出版影音及資通訊業,7019,1853602,61,7146,33,24258,4,755,0,0,4,1100,4,1100,1,298,0,45,7048,1837588,2025,10
金融及保險業,3276,4740474,22,3688,6,1045,2,280,0,0,0,0,0,0,-1,-50,0,0,3291,4743347,2025,10
不動產業,4499,1125786,25,4360,24,6450,4,2964,0,0,1,1000,1,200,-1,-200,0,0,4499,1127260,2025,10
專業、科學及技術服務業,21153,4627689,121,18319,89,19801,11,13789,0,0,14,6868,15,7068,1,200,-1,1600,21184,4641597,2025,10
支援服務業,30347,7477940,224,32126,118,19850,10,15020,2,2011,6,8800,6,8800,6,-3345,0,625,30459,7500505,2025,10
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-5,1,5,0,0,2025,10
教育業,2705,384726,61,8742,20,2313,1,1600,0,0,2,280,2,280,-1,-150,0,0,2745,392605,2025,10
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,10
藝術、娛樂及休閒服務業,25573,3413261,118,14470,104,14462,8,3030,2,300,3,350,3,350,0,120,0,-20,25587,3416099,2025,10
其他服務業,73882,7177833,445,52426,185,17290,19,7504,0,0,11,2500,10,2300,2,-2224,-2,-848,74143,7217601,2025,10
總計,994355,205620611,4730,718791,3611,667297,290,321559,16,17732,207,59344,208,59170,0,0,5,-6200,995478,205969906,2025,9
農、林、漁、牧業,12005,3876982,58,9885,14,2203,8,19857,1,2000,2,400,1,200,6,1250,-1,-200,12055,3903771,2025,9
礦業及土石採取業,1997,1173442,7,1480,6,5681,1,2500,0,0,0,0,0,0,-1,-200,0,0,1997,1171541,2025,9
製造業,55132,15413928,119,24698,140,26636,13,20170,2,2950,5,1000,5,1000,-7,1876,-1,-10,55103,15431077,2025,9
電力及燃氣供應業,1028,554085,6,1278,4,325,1,1000,0,0,1,200,1,200,0,0,0,0,1030,556038,2025,9
用水供應及污染整治業,4035,1940845,21,5840,10,36895,3,3302,0,0,0,0,0,0,0,0,0,0,4046,1913092,2025,9
營建工程業,102875,45284366,634,137811,296,83954,61,105648,0,0,28,15759,27,15259,8,217,2,330,103224,45444917,2025,9
批發及零售業,515794,86203440,1877,269690,1802,322011,118,89338,12,12642,112,23657,116,24903,1,3,6,-3061,515872,86223510,2025,9
運輸及倉儲業,25876,6000264,28,5891,28,2538,2,3000,0,0,0,0,0,0,1,2000,-1,-30,25876,6008587,2025,9
