station_id,station_name,poi_name,retail_category,amenity,shop,tourism,office,leisure
gongguan,Gongguan,卜乘輕食滷味,other,,deli,,,
gongguan,Gongguan,戀家小舖,other,,houseware,,,
gongguan,Gongguan,騏暘影印,services,,copyshop,,,
gongguan,Gongguan,聯經書房．上海書店,lifestyle/design,,books,,,
gongguan,Gongguan,雲香亭,food,restaurant,,,,
gongguan,Gongguan,Matimin Silver,apparel/fashion,,jewelry,,,
gongguan,Gongguan,烏弄原茶,cafe,cafe,,,,
gongguan,Gongguan,聚英軒,food,restaurant,,,,
gongguan,Gongguan,藍家割包,food,restaurant,,,,
gongguan,Gongguan,墾丁蛋蛋ㄉㄨㄞ奶,cafe,cafe,,,,
gongguan,Gongguan,威宇牛排,food,restaurant,,,,
gongguan,Gongguan,金雞園,food,restaurant,,,,
gongguan,Gongguan,雲泰小鎮餐坊,food,restaurant,,,,
gongguan,Gongguan,7-Eleven,convenience,,convenience,,,
gongguan,Gongguan,德克士,food,fast_food,,,,
gongguan,Gongguan,RockLand Life,other,,outdoor,,,
gongguan,Gongguan,La Soto Indonesia Food,food,restaurant,,,,
gongguan,Gongguan,唐山書店,lifestyle/design,,books,,,
gongguan,Gongguan,幻想遊戲世界,other,,toys,,,
gongguan,Gongguan,科見美語,services,prep_school,,,educational_institution,
gongguan,Gongguan,2nd STREET,other,,second_hand,,,
gongguan,Gongguan,fun braut's,apparel/fashion,,clothes,,,
gongguan,Gongguan,俄羅斯城堡,food,restaurant,,,,
gongguan,Gongguan,,other,,vacant,,,
gongguan,Gongguan,源士林粥品,food,restaurant,,,,
gongguan,Gongguan,馬辣酒牆麻辣鍋,food,restaurant,,,,
gongguan,Gongguan,磐石餐廳,food,restaurant,,,,
gongguan,Gongguan,經典光學,health,,optician,,,
gongguan,Gongguan,葉子咖啡,cafe,cafe,,,,
gongguan,Gongguan,複合影印,services,,copyshop,,,
gongguan,Gongguan,赤神日式豬排,food,restaurant,,,,
gongguan,Gongguan,嵐迪義大利麵館,food,restaurant,,,,
gongguan,Gongguan,欣欣客運,services,,,,company,
gongguan,Gongguan,料理王健康素食自助餐,food,restaurant,,,,
gongguan,Gongguan,JJ's Poké,food,restaurant,,,,
gongguan,Gongguan,柏雲茶莊,other,,tea,,,
gongguan,Gongguan,石記牛肉麵,food,restaurant,,,,
gongguan,Gongguan,Mr.拉麵野崎家,food,restaurant,,,,
gongguan,Gongguan,修齊會館,services,,,hotel,,
gongguan,Gongguan,沙嗲士多,food,restaurant,,,,
gongguan,Gongguan,韓江韓國烤肉館,food,restaurant,,,,
gongguan,Gongguan,胡饕米粉湯黑白切,food,restaurant,,,,
gongguan,Gongguan,PGP TOUR,apparel/fashion,,clothes,,,
gongguan,Gongguan,arnold palmer,apparel/fashion,,clothes,,,
gongguan,Gongguan,bluebell,apparel/fashion,,clothes,,,
gongguan,Gongguan,Celio,apparel/fashion,,clothes,,,
gongguan,Gongguan,古今書廊,lifestyle/design,,books,,,
gongguan,Gongguan,欣欣女子美髮工作室,services,,hairdresser,,,
gongguan,Gongguan,禮客,other,,department_store,,,
gongguan,Gongguan,巴生仔馬來西亞料理,food,restaurant,,,,
gongguan,Gongguan,柳狀元螺螄粉麻辣食坊,food,restaurant,,,,
gongguan,Gongguan,Drop Coffee House,cafe,cafe,,,,
gongguan,Gongguan,天使ハート 女僕咖啡廳,cafe,cafe,,,,
gongguan,Gongguan,燕福藥局,health,pharmacy,,,,
gongguan,Gongguan,義饗食堂,food,restaurant,,,,
gongguan,Gongguan,校警隊,services,,,,educational_institution,
gongguan,Gongguan,醫工所,services,,,,research,
gongguan,Gongguan,金石樂器,other,,musical_instrument,,,
gongguan,Gongguan,"PS, 國際髮型",services,,hairdresser,,,
gongguan,Gongguan,7-Eleven,convenience,,convenience,,,
gongguan,Gongguan,亂剪髮型,services,,hairdresser,,,
gongguan,Gongguan,堅果奶,cafe,cafe,,,,
gongguan,Gongguan,丼壽司,food,restaurant,,,,
gongguan,Gongguan,滇味小館雲南泰式風味,food,restaurant,,,,
gongguan,Gongguan,Hua Nan Commercial Bank,services,atm,,,,
gongguan,Gongguan,韓江韓國烤肉,food,restaurant,,,,
gongguan,Gongguan,電玩職人,other,,video_games,,,
gongguan,Gongguan,騏暘數位印刷,services,,copyshop,,,
gongguan,Gongguan,哲恩美學牙醫診所,health,dentist,,,,
gongguan,Gongguan,老铁沒毛病酸菜魚川燙mini獨享系列,food,restaurant,,,,
gongguan,Gongguan,MiMi's Cafe,cafe,cafe,,,,
gongguan,Gongguan,麻辣巴蕾,food,restaurant,,,,
gongguan,Gongguan,義樂麵屋,food,restaurant,,,,
gongguan,Gongguan,三槍,apparel/fashion,,clothes,,,
gongguan,Gongguan,燈籠滷味,food,restaurant,,,,
gongguan,Gongguan,伸騰1+1眼鏡量販,health,,optician,,,
gongguan,Gongguan,擱再來,food,restaurant,,,,
gongguan,Gongguan,Yo Yo Korean,food,restaurant,,,,
gongguan,Gongguan,劉記川味牛肉麵,food,restaurant,,,,
gongguan,Gongguan,台南小吃,food,restaurant,,,,
gongguan,Gongguan,James Joyce Irish Bar,food,bar,,,,
gongguan,Gongguan,DIGILOG,services,,,,company,
gongguan,Gongguan,大福利排骨大王,food,restaurant,,,,
gongguan,Gongguan,如來素食樂園,food,restaurant,,,,
gongguan,Gongguan,峨嵋川菜,food,restaurant,,,,
gongguan,Gongguan,店長米粉湯,food,restaurant,,,,
gongguan,Gongguan,ABC Mart,apparel/fashion,,shoes,,,
gongguan,Gongguan,戀茶荳,cafe,cafe,,,,
gongguan,Gongguan,成記滷味專賣店,other,,deli,,,
gongguan,Gongguan,金豪家台式自助餐,food,restaurant,,,,
gongguan,Gongguan,炸雞大獅,other,,deli,,,
gongguan,Gongguan,炸手指,food,restaurant,,,,
gongguan,Gongguan,模範眼鏡,health,,optician,,,
gongguan,Gongguan,Davie Hair Salon,services,,hairdresser,,,
gongguan,Gongguan,湛盧咖啡,cafe,cafe,,,,
gongguan,Gongguan,麥魚鯛魚燒,other,,deli,,,
gongguan,Gongguan,聯邦商業銀行,services,bank,,,,
gongguan,Gongguan,胡思二手書店,lifestyle/design,,books,,,
gongguan,Gongguan,胡椒餅,other,,deli,,,
gongguan,Gongguan,漂流,cafe,cafe,,,,
gongguan,Gongguan,小螺波,food,restaurant,,,,
gongguan,Gongguan,費斯達香草洋食館,food,restaurant,,,,
gongguan,Gongguan,金吉利寵物精品,other,,pet,,,
gongguan,Gongguan,金牛座平價牛排,food,restaurant,,,,
gongguan,Gongguan,MK Halal Food,food,restaurant,,,,
gongguan,Gongguan,池記燒臘茶餐廳,food,restaurant,,,,
gongguan,Gongguan,站食可以,food,restaurant,,,,
gongguan,Gongguan,魚玄機私家菜,food,restaurant,,,,
gongguan,Gongguan,第一商業銀行,services,bank,,,,
gongguan,Gongguan,Green & Safe,other,,greengrocer,,,
gongguan,Gongguan,靜壽司,food,restaurant,,,,
gongguan,Gongguan,樂法,other,,beverages,,,
gongguan,Gongguan,雅舍二手書店,lifestyle/design,,books,,,
gongguan,Gongguan,拉亞漢堡,food,fast_food,,,,
gongguan,Gongguan,Top頂點生活用品,other,,variety_store,,,
gongguan,Gongguan,e Coffee,cafe,cafe,,,,
gongguan,Gongguan,亞太和平研究基金會,services,,,,ngo,
gongguan,Gongguan,全舜科技,health,,medical_supply,,,
gongguan,Gongguan,兩岸交流遠景基金會,services,,,,ngo,
gongguan,Gongguan,南城泰國雲南緬甸料理,food,restaurant,,,,
gongguan,Gongguan,古今書廊,lifestyle/design,,books,,,
gongguan,Gongguan,台一影印印刷,services,,copyshop,,,
gongguan,Gongguan,地標網通,other,,mobile_phone,,,
gongguan,Gongguan,川雨麵包香,other,,bakery,,,
gongguan,Gongguan,孫東寶台式牛排專賣店,food,restaurant,,,,
gongguan,Gongguan,戰馬體育,other,,sports,,,
gongguan,Gongguan,蒸夠臭臭豆腐,food,restaurant,,,,
gongguan,Gongguan,永慶房屋,services,,,,estate_agent,
gongguan,Gongguan,科林助聽器,other,,hearing_aids,,,
gongguan,Gongguan,尚家香雲南美味麵館,food,restaurant,,,,
gongguan,Gongguan,美味坊早餐,food,restaurant,,,,
gongguan,Gongguan,讚鑫珠寶銀樓,apparel/fashion,,jewelry,,,
gongguan,Gongguan,台灣雙醬咖哩,food,restaurant,,,,
gongguan,Gongguan,阿姨小吃自助餐,food,restaurant,,,,
gongguan,Gongguan,無鍋不樂,food,restaurant,,,,
gongguan,Gongguan,Kipling,apparel/fashion,,bag,,,
gongguan,Gongguan,小旺號,food,fast_food,,,,
gongguan,Gongguan,innisfree,apparel/fashion,,clothes,,,
gongguan,Gongguan,奇奕花坊,lifestyle/design,,florist,,,
gongguan,Gongguan,得記麻辣,food,restaurant,,,,
gongguan,Gongguan,新卡莎素食西餐廳,food,restaurant,,,,
gongguan,Gongguan,公館食堂,food,restaurant,,,,
gongguan,Gongguan,泰豐味,food,restaurant,,,,
gongguan,Gongguan,就愛海鮮粥,food,restaurant,,,,
gongguan,Gongguan,理揚理髮廳,services,,hairdresser,,,
gongguan,Gongguan,韓天閣,food,restaurant,,,,
gongguan,Gongguan,靜壽司,food,restaurant,,,,
gongguan,Gongguan,大狗麵線,food,restaurant,,,,
gongguan,Gongguan,Nike,apparel/fashion,,clothes,,,
gongguan,Gongguan,中心藥局,health,pharmacy,,,,
gongguan,Gongguan,佳聲助聽器,other,,hearing_aids,,,
gongguan,Gongguan,南光香燭佛具行,other,,religion,,,
gongguan,Gongguan,古亭藥局,health,pharmacy,,,,
gongguan,Gongguan,台灣大哥大,services,,,,telecommunication,
gongguan,Gongguan,合記書店,lifestyle/design,,books,,,
gongguan,Gongguan,12巷拉麵,food,restaurant,,,,
gongguan,Gongguan,杏一藥局,health,pharmacy,,,,
gongguan,Gongguan,東華藥師藥局,health,pharmacy,,,,
gongguan,Gongguan,泰品雲南泰式料理,food,restaurant,,,,
gongguan,Gongguan,維康醫療用品,health,,medical_supply,,,
gongguan,Gongguan,Intermission Cafe,cafe,cafe,,,,
gongguan,Gongguan,龍虎飛躍,other,,sports,,,
gongguan,Gongguan,公館蚵仔麵線,food,restaurant,,,,
gongguan,Gongguan,卜派滷味,other,,deli,,,
gongguan,Gongguan,台南碗磕,food,restaurant,,,,
gongguan,Gongguan,喬雅美妝,health,,chemist,,,
gongguan,Gongguan,格子趣,other,,variety_store,,,
gongguan,Gongguan,,other,,vacant,,,
gongguan,Gongguan,Taipei Star Bank,services,atm,,,,
gongguan,Gongguan,臭豆腐,food,restaurant,,,,
gongguan,Gongguan,芙蘿菈時尚美甲,other,,beauty,,,
gongguan,Gongguan,蘭陽美食綠色臭豆腐,food,restaurant,,,,
gongguan,Gongguan,阿里媽媽,food,restaurant,,,,
gongguan,Gongguan,韓一閣韓式料理,food,restaurant,,,,
gongguan,Gongguan,窗口,food,fast_food,,,,
gongguan,Gongguan,E.SUN Commercial Bank,services,atm,,,,
gongguan,Gongguan,COMEBUY,cafe,cafe,,,,
gongguan,Gongguan,公館清蒸肉圓,other,,deli,,,
gongguan,Gongguan,阿剛雲泰創作料理,food,restaurant,,,,
gongguan,Gongguan,老街窯烤Pizza,food,restaurant,,,,
gongguan,Gongguan,,services,atm,,,,
gongguan,Gongguan,,cafe,cafe,,,,
gongguan,Gongguan,一弄,food,restaurant,,,,
gongguan,Gongguan,狗一下,food,restaurant,,,,
gongguan,Gongguan,華南商業銀行,services,bank,,,,
gongguan,Gongguan,雅舍二手書店,lifestyle/design,,books,,,
gongguan,Gongguan,小原田日本料理,food,restaurant,,,,
gongguan,Gongguan,西雅圖極品咖啡,cafe,cafe,,,,
gongguan,Gongguan,加慕秀,services,,hairdresser,,,
gongguan,Gongguan,佳醫誠藥牙醫診所,health,clinic,,,,
gongguan,Gongguan,晨宇,apparel/fashion,,clothes,,,
gongguan,Gongguan,ELE,apparel/fashion,,clothes,,,
gongguan,Gongguan,千模萬樣Salon,services,,hairdresser,,,
gongguan,Gongguan,大茗,cafe,cafe,,,,
gongguan,Gongguan,傑昇通訊,other,,mobile_phone,,,
gongguan,Gongguan,名立電信,other,,mobile_phone,,,
gongguan,Gongguan,,other,,lottery,,,
gongguan,Gongguan,大和工坊,health,,chemist,,,
gongguan,Gongguan,BISINDEI,health,,optician,,,
gongguan,Gongguan,味自慢,food,restaurant,,,,
gongguan,Gongguan,麻煮mini麻辣煲,food,restaurant,,,,
gongguan,Gongguan,,other,,lottery,,,
gongguan,Gongguan,十杯茶飲,other,,beverages,,,
gongguan,Gongguan,公館白肉檳榔攤,other,,deli,,,
gongguan,Gongguan,帽店,apparel/fashion,,clothes,,,
gongguan,Gongguan,晉承影印,services,,copyshop,,,
gongguan,Gongguan,,other,,vacant,,,
gongguan,Gongguan,中一蔬食園,food,restaurant,,,,
gongguan,Gongguan,冠宇影印輸出,services,,copyshop,,,
gongguan,Gongguan,小公館,cafe,cafe,,,,
gongguan,Gongguan,Lucy's,apparel/fashion,,jewelry,,,
gongguan,Gongguan,何太守港式菠蘿麵包,other,,confectionery,,,
