station_id,station_name,catchment_method,poi_name,retail_category,amenity,shop,tourism,office,leisure
gongguan,Gongguan,circular_center_500m,福二,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,手機包膜,other,,mobile_phone,,,
gongguan,Gongguan,circular_center_500m,拉非爾珠寶銀樓,apparel/fashion,,jewelry,,,
gongguan,Gongguan,circular_center_500m,喫ㄤ平價鐵板燒,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,曼德樂泰式料理,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,丼丼GO,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,泰國小館,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,台灣彩券,other,,lottery,,,
gongguan,Gongguan,circular_center_500m,佳興魚丸,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,精展眼鏡公司,health,,optician,,,
gongguan,Gongguan,circular_center_500m,雪球咖啡,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,7-Eleven,convenience,,convenience,,,
gongguan,Gongguan,circular_center_500m,花旗（台灣）商業銀行,services,atm,,,,
gongguan,Gongguan,circular_center_500m,野聚戶外,other,,outdoor,,,
gongguan,Gongguan,circular_center_500m,香草集,health,,chemist,,,
gongguan,Gongguan,circular_center_500m,卜乘輕食滷味,other,,deli,,,
gongguan,Gongguan,circular_center_500m,戀家小舖,other,,houseware,,,
gongguan,Gongguan,circular_center_500m,騏暘影印,services,,copyshop,,,
gongguan,Gongguan,circular_center_500m,聯經書房．上海書店,lifestyle/design,,books,,,
gongguan,Gongguan,circular_center_500m,雲香亭,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,Matimin Silver,apparel/fashion,,jewelry,,,
gongguan,Gongguan,circular_center_500m,烏弄原茶,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,聚英軒,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,藍家割包,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,墾丁蛋蛋ㄉㄨㄞ奶,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,威宇牛排,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,金雞園,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,雲泰小鎮餐坊,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,7-Eleven,convenience,,convenience,,,
gongguan,Gongguan,circular_center_500m,德克士,food,fast_food,,,,
gongguan,Gongguan,circular_center_500m,RockLand Life,other,,outdoor,,,
gongguan,Gongguan,circular_center_500m,La Soto Indonesia Food,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,唐山書店,lifestyle/design,,books,,,
gongguan,Gongguan,circular_center_500m,幻想遊戲世界,other,,toys,,,
gongguan,Gongguan,circular_center_500m,科見美語,services,prep_school,,,educational_institution,
gongguan,Gongguan,circular_center_500m,2nd STREET,other,,second_hand,,,
gongguan,Gongguan,circular_center_500m,fun braut's,apparel/fashion,,clothes,,,
gongguan,Gongguan,circular_center_500m,俄羅斯城堡,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,,other,,vacant,,,
gongguan,Gongguan,circular_center_500m,源士林粥品,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,馬辣酒牆麻辣鍋,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,磐石餐廳,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,經典光學,health,,optician,,,
gongguan,Gongguan,circular_center_500m,葉子咖啡,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,複合影印,services,,copyshop,,,
gongguan,Gongguan,circular_center_500m,赤神日式豬排,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,嵐迪義大利麵館,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,欣欣客運,services,,,,company,
gongguan,Gongguan,circular_center_500m,料理王健康素食自助餐,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,JJ's Poké,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,柏雲茶莊,other,,tea,,,
gongguan,Gongguan,circular_center_500m,石記牛肉麵,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,Mr.拉麵野崎家,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,修齊會館,services,,,hotel,,
gongguan,Gongguan,circular_center_500m,沙嗲士多,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,韓江韓國烤肉館,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,胡饕米粉湯黑白切,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,PGP TOUR,apparel/fashion,,clothes,,,
gongguan,Gongguan,circular_center_500m,arnold palmer,apparel/fashion,,clothes,,,
gongguan,Gongguan,circular_center_500m,bluebell,apparel/fashion,,clothes,,,
gongguan,Gongguan,circular_center_500m,Celio,apparel/fashion,,clothes,,,
gongguan,Gongguan,circular_center_500m,古今書廊,lifestyle/design,,books,,,
gongguan,Gongguan,circular_center_500m,欣欣女子美髮工作室,services,,hairdresser,,,
gongguan,Gongguan,circular_center_500m,禮客,other,,department_store,,,
gongguan,Gongguan,circular_center_500m,巴生仔馬來西亞料理,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,柳狀元螺螄粉麻辣食坊,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,Drop Coffee House,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,天使ハート 女僕咖啡廳,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,燕福藥局,health,pharmacy,,,,
gongguan,Gongguan,circular_center_500m,義饗食堂,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,校警隊,services,,,,educational_institution,
gongguan,Gongguan,circular_center_500m,醫工所,services,,,,research,
gongguan,Gongguan,circular_center_500m,金石樂器,other,,musical_instrument,,,
gongguan,Gongguan,circular_center_500m,"PS, 國際髮型",services,,hairdresser,,,
gongguan,Gongguan,circular_center_500m,7-Eleven,convenience,,convenience,,,
gongguan,Gongguan,circular_center_500m,亂剪髮型,services,,hairdresser,,,
gongguan,Gongguan,circular_center_500m,堅果奶,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,丼壽司,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,滇味小館雲南泰式風味,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,Hua Nan Commercial Bank,services,atm,,,,
gongguan,Gongguan,circular_center_500m,韓江韓國烤肉,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,電玩職人,other,,video_games,,,
gongguan,Gongguan,circular_center_500m,騏暘數位印刷,services,,copyshop,,,
gongguan,Gongguan,circular_center_500m,哲恩美學牙醫診所,health,dentist,,,,
gongguan,Gongguan,circular_center_500m,老铁沒毛病酸菜魚川燙mini獨享系列,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,MiMi's Cafe,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,麻辣巴蕾,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,義樂麵屋,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,三槍,apparel/fashion,,clothes,,,
gongguan,Gongguan,circular_center_500m,燈籠滷味,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,伸騰1+1眼鏡量販,health,,optician,,,
gongguan,Gongguan,circular_center_500m,擱再來,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,Yo Yo Korean,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,劉記川味牛肉麵,food,restaurant,,,,
